ClienteID,Ciudad,Estado,Pais,Tipo_Cliente
5274,MIC22,10,1,ENTREGA DOMICILIO
5275,GR01,8,1,ENTREGA DOMICILIO
5276,OA04,7,1,ENTREGA DOMICILIO
5277,VER03,11,1,ENTREGA DOMICILIO
5278,JA13,3,1,ENTREGA DOMICILIO
5279,CHI08,29,1,ENTREGA DOMICILIO
5280,GTO12,12,1,ENTREGA DOMICILIO
5281,JA13,3,1,ENTREGA DOMICILIO
5282,JA17,3,1,ENTREGA DOMICILIO
5283,QR02,5,1,ENTREGA DOMICILIO
5284,MIC22,10,1,ENTREGA DOMICILIO
5285,JA10,3,1,ENTREGA DOMICILIO
5286,QTO02,14,1,ENTREGA DOMICILIO
5287,JA03,3,1,ENTREGA DOMICILIO
5288,DF01,1,1,ENTREGA DOMICILIO
5289,SLP04,19,1,ENTREGA DOMICILIO
5290,ZAC03,32,1,ENTREGA DOMICILIO
5291,ZAC08,32,1,ENTREGA DOMICILIO
5292,CHI04,29,1,ENTREGA DOMICILIO
5293,CHI04,29,1,ENTREGA DOMICILIO
5294,SLP02,19,1,ENTREGA DOMICILIO
5295,EM04,2,1,ENTREGA DOMICILIO
5296,DF01,1,1,ENTREGA DOMICILIO
5297,SIN04,20,1,ENTREGA DOMICILIO
5298,GTO10,12,1,ENTREGA DOMICILIO
5299,MIC07,10,1,ENTREGA DOMICILIO
5300,GR01,8,1,ENTREGA DOMICILIO
5301,NAY06,26,1,ENTREGA DOMICILIO
5302,VER16,11,1,ENTREGA DOMICILIO
5303,VER08,11,1,ENTREGA DOMICILIO
5304,VER05,11,1,ENTREGA DOMICILIO
5305,VER20,11,1,ENTREGA DOMICILIO
5306,CHI09,29,1,ENTREGA DOMICILIO
5307,DF01,1,1,ENTREGA DOMICILIO
5308,GTO01,12,1,ENTREGA DOMICILIO
5309,DF01,1,1,ENTREGA DOMICILIO
5310,GTO03,12,1,ENTREGA DOMICILIO
5311,SLP04,19,1,ENTREGA DOMICILIO
5312,SON03,15,1,ENTREGA DOMICILIO
5313,MIC10,10,1,ENTREGA DOMICILIO
5314,JA17,3,1,EMBARQUE
5315,JA10,3,1,ENTREGA DOMICILIO
5316,VER20,11,1,ENTREGA DOMICILIO
5317,VER08,11,1,ENTREGA DOMICILIO
5318,VER14,11,1,ENTREGA DOMICILIO
5319,HGO04,24,1,ENTREGA DOMICILIO
5320,VER15,11,1,ENTREGA DOMICILIO
5321,CHI06,29,1,ENTREGA DOMICILIO
5322,VER20,11,1,ENTREGA DOMICILIO
5323,VER20,11,1,ENTREGA DOMICILIO
5324,VER20,11,1,ENTREGA DOMICILIO
