ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio
15606578,BRAZO DEF DEL CHEV PU 81-91 LARGO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,200
15607172,TOLVA RAD CHEV PU 92-98 6 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,400
15611495,BRAZO DEF DEL CHEV PU 92-98 CENTRAL IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,180
15611496,BRAZO DEF DEL CHEV PU 92-98 CENTRAL DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,180
15616290,MOLD ARCO TRAS SUBURBAN 89-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150
15616291,MOLD ARCO TRAS SUBURBAN 89-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
15616312,MOLD ARCO SALP SUBURBAN 89-91 DER,MOLDURAS,CHEVROLET,TAIWAN,150
15616313,MOLD ARCO SALP SUBURBAN 89-91 IZQ,MOLDURAS,CHEVROLET,TAIWAN,150
15616749,BISAGRA COFRE CHEV PU 92-98 S/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
15616750,BISAGRA COFRE CHEV PU 92-98 S/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
15686149,BRAZO DEF DEL CHEV PU 92-98 EXTERIOR IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15686150,BRAZO DEF DEL CHEV PU 92-98 EXTERIOR DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15690183,BISAGRA COFRE CHEV PU 92-98 C/ESPIRAL IZQ,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
15690184,BISAGRA COFRE CHEV PU 92-98 C/ESPIRAL DER,BISAGRAS DE COFRE,CHEVROLET,TAIWAN,200
15696691,TOLVA RAD CHEV PU 92-98 8 CIL INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350
15707564,TOLVA RAD CHEV PU 99-03 4.3L INFERIOR,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15739587,TOLVA RAD CHEV PU 92-98 8 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350
15789587,TOLVA RAD SUBURBAN / SILVERADO 94-99 SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15954691,TOLVA RAD SUBURBAN / SILVERADO 94-99 INF,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,600
15958485,TOLVA RAD S-10 82-94 6 CIL SUP,TOLVAS DE RADIADOR,CHEVROLET,TAIWAN,350
15976629,BRAZO DEF DEL S-10 82-94 LARGO IZQ,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
15976630,BRAZO DEF DEL S-10 82-94 LARGO DER,BRAZOS DE DEFENSA,CHEVROLET,TAIWAN,150
1671135010,TOLVA RAD TOYOTA PU 84-88 (TRACC NORMAL),TOLVAS DE RADIADOR,TOYOTA,TAIWAN,300
1671171030,TOLVA RAD TOYOTA PU 89-95 (TRACC NORMAL),TOLVAS DE RADIADOR,TOYOTA,TAIWAN,300
176807113B,BRAZO DEF DEL GOLF / JETTA 87-91 DER,BRAZOS DE DEFENSA,VOLSKWAGEN,TAIWAN,200
176807113C,BRAZO DEF DEL GOLF / JETTA 87-91 IZQ,BRAZOS DE DEFENSA,VOLSKWAGEN,TAIWAN,200
1R3Z-8C607CA,MOTOVENT MUSTANG 99-02 3.8L P/RAD  P/ A/A COMPLETO,MOTOVENTILADORES,FORD,TAIWAN,2600
1S4Z-8C607AA,MOTOVENT FOCUS 00-03 P/RAD P/ A/A COMPLETO,MOTOVENTILADORES,FORD,TAIWAN,3500
212-1539L1,CUARTO PUNTA TOYOTA PU 89-95 CROM TRAC NOR IZQ,CUARTOS,TOYOTA,TAIWAN,80
212-1539L2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO TRAC NOR IZQ,CUARTOS,TOYOTA,TAIWAN,80
212-1539R1,CUARTO PUNTA TOYOTA PU 89-95 CROM TRAC NOR DER,CUARTOS,TOYOTA,TAIWAN,80
212-1539R2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO TRAC NOR DER,CUARTOS,TOYOTA,TAIWAN,80
212-1552L1,CUARTO PUNTA TOYOTA PU 89-95 CROM DOBLE TRACC IZQ,CUARTOS,TOYOTA,TAIWAN,140
212-1552L2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO DOBLE TRACC IZQ,CUARTOS,TOYOTA,TAIWAN,140
212-1552R1,CUARTO PUNTA TOYOTA PU 89-95 CROM DOBLE TRACC DER,CUARTOS,TOYOTA,TAIWAN,140
212-1552R2,CUARTO PUNTA TOYOTA PU 89-95 NEGRO DOBLE TRACC DER,CUARTOS,TOYOTA,TAIWAN,140
212-1612L,CUARTO FRONTAL TOYOTA PU 84-88 (TODAS) IZQ,CUARTOS,TOYOTA,TAIWAN,40
212-1612R,CUARTO FRONTAL TOYOTA PU 84-88 (TODAS) DER,CUARTOS,TOYOTA,TAIWAN,40
212-1638L,CUARTO FRONTAL TOYOTA PU 89-95 (TODAS) IZQ,CUARTOS,TOYOTA,TAIWAN,60
212-1638R,CUARTO FRONTAL TOYOTA PU 89-95 (TODAS) DER,CUARTOS,TOYOTA,TAIWAN,60
212-1914L,CALAVERA TOYOTA PU 84-88 CROMADA (TODAS) IZQ,CALAVERAS,TOYOTA,TAIWAN,120
212-1914L2,CALAVERA TOYOTA PU 84-88 PINTADA (TODAS) IZQ,CALAVERAS,TOYOTA,TAIWAN,110
212-1914R,CALAVERA TOYOTA PU 84-88 CROMADA (TODAS) DER,CALAVERAS,TOYOTA,TAIWAN,120
212-1914R2,CALAVERA TOYOTA PU 84-88 PINTADA (TODAS) DER,CALAVERAS,TOYOTA,TAIWAN,110
212-1923L,CALAVERA TOYOTA PU 78-83 CROMADA (TODAS)  IZQ,CALAVERAS,TOYOTA,TAIWAN,120
212-1923R,CALAVERA TOYOTA PU 78-83 CROMADA (TODAS) DER,CALAVERAS,TOYOTA,TAIWAN,120
212-1945L,CALAVERA TOYOTA PU 89-95 (TODAS) IZQ,CALAVERAS,TOYOTA,TAIWAN,120
212-1945R,CALAVERA TOYOTA PU 89-95 (TODAS) DER,CALAVERAS,TOYOTA,TAIWAN,120
213-1122L,FARO LUV 04 C/AJUSTES CRISTAL IZQ ***,FAROS,CHEVROLET,TAIWAN,600
213-1122R,FARO LUV 04 C/AJUSTES CRISTAL DER ***,FAROS,CHEVROLET,TAIWAN,600
213-1123L,FARO LUV 98-03 C/AJUSTES IZQ,FAROS,CHEVROLET,TAIWAN,500
213-1123R,FARO LUV 98-03 C/AJUSTES DER,FAROS,CHEVROLET,TAIWAN,500
213-1408N,CUARTO LAT LUV 97-03 AMBAR LH=RH ***,CUARTOS,CHEVROLET,TAIWAN,60
213-1509L,CUARTO PUNTA ISUZU PU / LUV 88-95 CROM AMBAR IZQ,CUARTOS,ISUZU,TAIWAN,80
213-1509R,CUARTO PUNTA ISUZU PU / LUV 88-95 CROM AMBAR DER,CUARTOS,ISUZU,TAIWAN,80
213-1524L,CUARTO PUNTA LUV 04 CRISTAL IZQ ***,CUARTOS,CHEVROLET,TAIWAN,180
213-1524R,CUARTO PUNTA LUV 04 CRISTAL DER ***,CUARTOS,CHEVROLET,TAIWAN,180
213-1619L,CUARTO FRONTAL LUV 81-03 AMBAR IZQ ***,CUARTOS,CHEVROLET,TAIWAN,80
