Folio,ClienteID,VendedorID,TimeID
A004621,NO PROPORCIONADO,NO PROPORCIONADO,20191012
A004622,5018,7,20220731
A004623,NO PROPORCIONADO,NO PROPORCIONADO,20160906
A004624,NO PROPORCIONADO,NO PROPORCIONADO,20151126
A004625,5328,6,20160701
A004626,5469,5,20210427
A004627,NO PROPORCIONADO,NO PROPORCIONADO,20160724
A004628,NO PROPORCIONADO,NO PROPORCIONADO,20170426
A004629,5663,8,20141209
A004630,5653,8,20210615
A004631,5237,1,20150208
A004632,NO PROPORCIONADO,NO PROPORCIONADO,20171015
A004633,NO PROPORCIONADO,NO PROPORCIONADO,20210310
A004634,5031,8,20140510
A004635,5054,2,20210621
A004636,5053,2,20211210
A004637,5036,2,20171130
A004638,5537,6,20211027
A004639,5876,5,20171114
A004640,5673,6,20160919
A004641,5723,9,20220525
A004642,5302,4,20160608
A004643,0114,3,20180502
A004644,5034,8,20180428
A004645,0011,3,20220615
A004646,5479,6,20190919
A004647,5509,1,20220804
A004648,5132,1,20140327
A004649,5223,1,20151228
A004650,5223,1,20220928
A004651,5130,1,20191224
A004652,5190,6,20140904
A004653,5190,6,20200505
A004654,5214,4,20201103
A004655,5099,7,20170925
A004656,5099,7,20200809
A004657,5099,7,20190928
A004658,5034,8,20170704
A004659,5858,5,20190915
A004660,5062,7,20190718
A004661,5754,7,20170522
A004662,5245,7,20210803
A004663,5044,2,20210226
A004664,5410,6,20150327
A004665,5872,6,20210313
A004666,5720,6,20150805
A004667,5143,1,20140523
A004668,5621,1,20151103
A004669,5870,6,20220213
A004670,5070,1,20220413
A004671,5061,8,20171118
A004672,5183,2,20140225
A004673,0114,3,20141113
A004674,0095,3,20170831
A004675,5221,7,20220909
A004676,NO PROPORCIONADO,NO PROPORCIONADO,20190212
A004677,0093,3,20140605
A004678,5226,7,20161117
A004679,5119,7,20220620
A004680,5001,7,20221213
A004681,NO PROPORCIONADO,NO PROPORCIONADO,20170601
A004682,NO PROPORCIONADO,NO PROPORCIONADO,20150924
A004683,5122,8,20190201
A004684,0053,0,20190716
A004685,5481,8,20210112
A004686,5777,7,20220601
A004687,5735,7,20180508
A004688,5159,7,20150508
A004689,5092,7,20210515
A004690,5226,7,20211122
A004691,5187,7,20150513
A004692,5013,7,20140906
A004693,5147,7,20180430
A004694,5237,1,20220324
A004695,5262,1,20200806
A004696,5741,1,20220304
A004697,5421,4,20151026
A004698,5760,8,20141209
A004699,5760,8,20220811
A004700,5186,7,20220822
A004701,5074,8,20160426
A004702,5074,8,20141210
A004703,5431,6,20161216
A004704,0106,3,20221111
A004705,0016,3,20220117
A004706,0114,3,20170717
A004707,5050,7,20140910
A004708,5669,6,20180316
A004709,5204,8,20161128
A004710,5180,8,20150726
